year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    5.5    5.4    6.7    9.1   12.2   15.0   16.8   17.4   14.9   10.3    6.2    4.4     ---    9.33   16.41   10.43   10.33
1885    3.4    5.1    5.8    9.3   10.0   14.7   16.9   14.7   12.8    7.4    6.2    5.3    4.28    8.35   15.44    8.81    9.33
1886    2.5    2.8    4.7    8.8   10.9   14.4   16.4   15.8   13.4   11.2    7.6    2.4    3.56    8.09   15.53   10.76    9.27
1887    4.7    6.3    6.1    8.4   12.5   18.1   17.7   16.3   12.9    8.9    5.7    3.9    4.43    9.04   17.37    9.18   10.16
1888    5.2    3.2    3.8    8.0   12.1   14.5   14.3   14.8   13.7   10.2    7.2    6.4    4.11    7.95   14.55   10.38    9.47
1889    6.0    4.1    6.0    7.7   14.7   17.3   16.1   15.1   13.5    9.8    8.2    6.0    5.58    9.49   16.16   10.48   10.42
1890    6.6    5.0    7.3    9.4   13.7   14.3   15.0   15.2   16.0   10.9    7.1    3.2    5.90   10.14   14.84   11.32   10.34
1891    4.1    8.1    4.7    7.9   11.3   16.1   16.1   15.0   14.5   10.4    6.4    5.4    5.02    7.98   15.72   10.44   10.00
1892    3.6    4.2    4.8    9.6   12.6   14.2   15.1   15.2   12.3    7.6    7.6    3.1    4.38    9.00   14.84    9.16    9.17
1893    3.8    4.9    8.7   12.2   14.1   17.2   16.8   17.6   13.5   10.5    5.5    6.4    3.92   11.67   17.22    9.82   10.98
1894    4.3    5.1    8.7   11.6   10.3   15.0   17.3   15.2   13.3   10.0    8.7    6.0    5.27   10.19   15.84   10.66   10.49
1895    1.0    1.0    5.9   10.0   14.8   16.4   15.5   16.3   16.6    8.2    7.0    4.2    2.76   10.22   16.06   10.55    9.77
1896    5.8    6.8    7.1   10.4   15.4   15.7   16.1   15.0   13.2    7.6    7.0    4.8    5.59   10.94   15.62    9.24   10.41
1897    2.5    5.6    6.0    8.2   11.4   15.0   17.7   17.3   13.2   11.6    8.4    5.4    4.27    8.54   16.69   11.07   10.23
1898    7.5    4.9    6.1    9.9   11.3   15.4   16.5   16.6   16.1   12.0    7.4    7.5    5.99    9.11   16.18   11.83   10.98
1899    4.1    5.9    6.7    8.3   11.0   17.3   17.1   19.1   13.3   11.3    9.7    3.8    5.86    8.68   17.84   11.42   10.66
1900    4.8    2.4    5.1    9.9   11.8   16.0   16.8   15.7   14.8    9.6    7.1    7.4    3.70    8.89   16.17   10.50   10.15
1901    4.8    4.0    5.5   10.1   14.9   14.9   19.4   16.4   15.2   10.3    7.2    3.8    5.44   10.19   16.91   10.90   10.59
1902    4.8    3.0    7.2    9.6    9.9   14.8   14.6   14.5   14.0   10.7    8.5    5.3    3.90    8.88   14.64   11.06    9.77
1903    4.0    7.1    6.7    7.8   12.2   15.0   15.5   14.9   14.3    9.9    7.0    3.9    5.39    8.92   15.14   10.43    9.87
1904    5.3    3.6    5.7    9.5   11.8   15.4   16.8   15.8   14.4   10.9    6.7    5.4    4.27    8.99   16.01   10.66   10.12
1905    6.1    5.8    7.4    7.8   13.0   17.0   17.8   15.4   13.7    9.0    6.1    7.1    5.76    9.42   16.77    9.61   10.56
1906    5.7    4.0    5.9    9.9   10.4   16.5   16.5   16.9   16.3   11.2    8.3    4.7    5.64    8.72   16.64   11.94   10.56
1907    5.2    4.6    8.0    9.1   11.3   13.0   15.6   14.3   15.3   10.5    7.3    5.0    4.85    9.48   14.33   11.02    9.97
1908    5.0    6.1    5.3    7.7   13.3   15.7   16.4   15.8   13.7   13.6    8.6    6.0    5.37    8.79   15.97   11.98   10.62
1909    5.2    5.4    4.2   10.0   12.7   14.1   15.5   16.0   13.4   10.4    6.4    3.9    5.54    8.96   15.22   10.07    9.79
1910    4.0    5.1    7.9    7.8   12.7   16.0   15.6   16.0   14.1   11.3    4.1    6.5    4.33    9.48   15.85    9.85   10.13
1911    5.7    5.9    6.1    9.0   14.7   16.0   17.9   18.0   14.2    9.9    6.2    6.5    6.02    9.94   17.32   10.11   10.87
1912    4.2    5.4    7.6   10.9   12.7   14.2   16.4   13.6   12.6    9.7    6.6    6.4    5.35   10.37   14.71    9.64   10.03
1913    4.4    5.8    6.3    9.2   12.1   15.2   16.5   16.6   14.4   11.6    8.7    5.7    5.54    9.22   16.13   11.54   10.57
1914    4.8    7.1    6.3   11.7   12.0   16.1   16.9   17.0   14.5   11.4    7.5    4.4    5.85    9.99   16.68   11.13   10.83
1915    4.2    4.6    6.4    9.5   12.3   16.2   15.9   16.2   14.5   10.6    4.6    4.1    4.39    9.42   16.07    9.91    9.96
1916    7.8    4.1    3.8    9.3   12.0   13.2   16.2   16.9   14.0   10.5    7.9    4.3    5.38    8.32   15.47   10.80   10.02
1917    2.6    3.9    4.7    6.7   12.8   15.5   17.7   16.7   14.4    8.0    8.4    4.3    3.59    8.10   16.64   10.22    9.67
1918    3.9    6.8    6.9    9.0   14.0   14.9   16.3   16.2   11.6   10.1    6.9    6.2    4.96    9.96   15.80    9.55   10.26
1919    4.0    2.9    4.2    8.6   15.0   14.5   16.1   15.7   13.6    9.7    3.7    5.0    4.43    9.28   15.44    9.02    9.47
1920    5.0    6.9    7.3    8.4   12.4   15.9   14.9   14.8   13.8   11.9    8.7    5.2    5.58    9.40   15.21   11.48   10.44
1921    6.7    6.5    7.2   10.7   12.7   15.9   17.8   15.0   14.3   12.9    6.4    7.6    6.12   10.21   16.23   11.21   11.17
1922    4.0    5.1    6.6    7.5   12.7   14.3   14.4   14.3   13.2   10.1    7.6    6.2    5.61    8.93   14.32   10.29    9.69
1923    7.0    5.0    8.2    8.2    9.9   13.5   16.8   15.1   12.8    9.8    4.7    4.7    6.10    8.75   15.16    9.09    9.67
1924    5.4    5.1    5.4    8.6   11.0   14.1   15.8   14.9   13.4   10.6    8.2    7.8    5.06    8.34   14.95   10.77   10.05
1925    6.1    4.8    6.1    8.7   12.0   16.3   17.7   16.4   12.2   10.9    5.5    3.5    6.28    8.94   16.81    9.56   10.06
1926    5.6    6.4    7.4   10.7   11.6   15.1   18.0   17.0   14.5    8.3    6.4    6.0    5.13    9.89   16.69    9.73   10.60
1927    5.2    6.1    8.1    8.4   11.3   12.9   17.2   16.6   12.8   11.0    6.7    2.7    5.78    9.28   15.60   10.19    9.96
1928    5.8    6.5    6.0    9.4   12.5   13.0   15.1   15.8   13.6   10.6    8.0    5.0    4.96    9.32   14.64   10.75   10.12
1929    3.0    2.8    9.8    8.2   13.2   14.4   16.5   15.2   15.0    9.7    7.2    5.9    3.62   10.45   15.38   10.62   10.13
1930    5.2    3.6    5.6    9.4   12.3   16.7   16.0   16.1   14.0   10.4    6.3    5.6    4.96    9.10   16.25   10.23   10.13
1931    4.4    4.5    5.2    8.9   12.7   13.7   15.7   15.6   13.3   10.5    8.5    7.1    4.82    8.91   15.05   10.75   10.04
1932    7.8    6.4    6.7    8.0   11.7   16.1   16.4   16.9   13.3    9.2    7.2    6.6    7.16    8.79   16.47    9.90   10.55
1933    4.2    5.0    9.0   10.3   12.9   17.6   18.8   17.6   16.1   10.8    6.9    4.9    5.28   10.71   17.99   11.26   11.20
1934    6.5    7.2    6.2    8.3   12.2   16.3   18.8   16.0   15.2   10.5    7.1    7.5    6.16    8.91   17.04   10.91   11.00
1935    6.0    5.8    8.1    9.0   12.8   15.1   17.6   17.3   13.7    9.7    7.1    3.5    6.47    9.96   16.71   10.17   10.51
1936    3.5    4.0    7.4    8.5   13.3   16.7   16.6   17.1   15.0   11.0    6.9    6.3    3.63    9.75   16.78   10.98   10.54
1937    5.8    4.5    4.0   10.0   13.9   15.0   16.5   17.2   14.0   10.9    7.2    3.7    5.59    9.32   16.24   10.71   10.27
1938    6.1    6.2    9.9   10.3   12.0   14.4   15.8   17.2   14.8   11.0    8.7    5.5    5.30   10.71   15.79   11.46   11.00
1939    4.0    6.8    7.3    9.6   13.4   16.6   15.7   17.4   15.2    9.8    8.3    4.9    5.37   10.09   16.57   11.10   10.76
1940    1.8    3.9    6.8    9.2   14.8   18.8   15.5   16.0   13.1   10.5    7.4    5.3    3.50   10.28   16.76   10.31   10.26
1941    1.4    3.7    5.7    7.5   11.6   16.0   17.1   15.4   15.9   11.2    7.6    6.9    3.45    8.31   16.21   11.57   10.05
1942    3.1    3.1    5.9   11.2   12.9   14.7   16.3   16.2   13.7   10.5    7.3    7.5    4.40    9.99   15.73   10.48   10.23
1943    4.9    7.3    8.3   10.8   12.8   15.4   16.9   15.1   13.8   11.7    7.2    5.6    6.55   10.63   15.80   10.90   10.83
1944    6.7    5.2    7.1   11.0   11.8   14.5   16.8   17.6   13.3   10.1    6.0    5.1    5.84    9.95   16.30    9.81   10.45
1945    1.9    7.2    9.7   10.7   12.9   15.3   17.6   17.2   15.4   12.8    8.7    6.4    4.64   11.12   16.72   12.30   11.33
1946    4.8    6.0    7.2   11.1   13.5   14.6   16.3   15.5   14.2   10.4    8.1    4.8    5.72   10.61   15.45   10.89   10.56
1947    3.9    0.2    3.4    9.0   14.0   15.3   17.3   20.7   14.8   12.1    7.2    5.7    3.06    8.77   17.82   11.35   10.36
1948    4.0    5.7   10.2   10.4   13.6   14.6   16.6   14.9   13.9   10.4    8.9    6.6    5.11   11.39   15.37   11.07   10.83
1949    6.4    6.9    6.8   10.6   12.9   16.4   17.6   16.8   16.2   12.0    7.8    5.7    6.62   10.10   16.94   12.02   11.37
1950    5.7    5.0    8.7    8.4   13.0   16.6   16.9   16.6   12.9   10.3    5.9    2.3    5.50   10.02   16.70    9.69   10.21
1951    3.9    3.8    4.8    7.4   11.7   15.1   16.4   15.3   14.6   11.6    8.6    6.1    3.32    7.99   15.58   11.61    9.98
1952    2.8    5.0    7.3   11.2   14.2   14.0   17.0   15.9   11.8    9.7    5.0    4.5    4.66   10.89   15.65    8.86    9.90
1953    5.8    6.3    8.8    8.5   13.8   16.1   15.9   16.6   15.0   11.5    9.0    7.4    5.50   10.41   16.17   11.81   11.24
1954    4.6    3.6    6.6   10.2   13.0   14.5   14.9   15.0   12.8   11.3    7.4    6.8    5.23    9.92   14.80   10.51   10.09
1955    3.2    2.0    5.4   11.5   11.5   15.2   19.8   19.1   15.4   10.2    8.7    5.4    4.06    9.43   18.03   11.42   10.65
1956    4.0    3.4    7.6    9.1   13.4   14.5   16.1   13.9   14.6   10.6    7.9    7.0    4.29   10.04   14.84   11.01   10.19
1957    6.5    5.1    9.3   10.7   12.5   16.4   16.0   15.8   12.5   11.3    7.6    6.0    6.22   10.83   16.10   10.50   10.85
1958    4.5    4.5    4.2    9.2   11.6   14.8   16.7   16.1   16.2   11.7    8.3    5.1    5.01    8.35   15.89   12.07   10.28
1959    2.6    6.3    8.3   10.2   14.7   16.0   17.2   17.8   16.4   13.6    8.2    6.0    4.62   11.10   17.00   12.73   11.47
1960    4.8    4.2    7.1   10.8   14.9   17.4   16.2   16.0   14.2   10.6    7.4    4.4    5.02   10.94   16.51   10.71   10.68
1961    4.4    7.2    9.5   10.2   12.6   14.7   15.0   15.7   15.1   11.2    6.6    3.2    5.26   10.76   15.15   10.96   10.46
