year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    3.5    3.0    3.8    5.5    7.9   11.0   12.7   13.4   11.2    7.2    3.4    1.9     ---    5.74   12.35    7.27    7.05
1885    1.0    2.2    2.5    5.7    6.3   10.5   12.5   10.6    9.3    4.5    3.5    2.7    1.68    4.83   11.21    5.76    5.96
1886    0.2    0.2    1.8    4.8    7.0   10.3   12.1   12.0    9.7    8.3    4.9   -0.3    1.07    4.52   11.46    7.63    5.94
1887    2.3    3.5    2.9    4.4    8.0   12.9   13.4   12.1    9.4    5.6    3.1    1.1    1.76    5.13   12.79    6.04    6.58
1888    2.7    0.5    0.9    4.4    7.7   10.0   10.8   11.1    9.7    7.3    5.0    3.9    1.47    4.32   10.64    7.33    6.18
1889    3.3    1.3    3.0    4.8   10.4   12.5   11.9   11.8   10.0    6.4    5.4    3.2    2.92    6.09   12.09    7.24    7.04
1890    3.8    2.2    3.9    5.3    9.4   10.7   11.1   11.5   12.3    7.9    4.1    1.0    3.11    6.20   11.10    8.10    6.96
1891    1.6    4.6    1.3    3.9    6.9   11.6   12.6   11.7   11.0    7.0    3.6    2.6    2.35    4.04   11.97    7.21    6.55
1892    1.1    1.4    1.1    4.8    8.2   10.0   11.4   11.7    8.8    4.8    4.9    0.3    1.70    4.68   11.02    6.13    5.70
1893    1.3    2.2    4.7    7.3   10.0   12.6   13.0   13.8    9.9    7.3    2.8    3.9    1.25    7.34   13.12    6.66    7.43
1894    1.7    2.4    4.5    7.4    6.3   10.8   13.4   11.7    9.4    6.2    6.1    3.3    2.68    6.07   11.97    7.24    6.96
1895   -1.7   -2.7    3.0    6.0    9.7   11.5   11.7   12.9   12.5    4.8    4.2    2.0   -0.32    6.24   12.05    7.16    6.20
1896    3.1    4.3    3.7    6.8   10.3   11.9   12.3   11.3   10.1    4.4    4.4    2.2    3.08    6.92   11.86    6.29    7.07
1897    0.3    2.9    3.3    4.2    7.1   11.1   13.2   13.5    9.4    7.9    5.8    2.6    1.75    4.88   12.59    7.72    6.80
1898    5.2    2.4    2.9    6.5    7.5   11.1   12.1   12.6   12.0    8.8    4.4    4.9    3.43    5.58   11.95    8.41    7.55
1899    1.5    2.6    3.3    4.7    6.7   12.6   13.5   14.4    9.9    7.7    7.1    1.2    2.99    4.90   13.51    8.26    7.12
1900    2.7   -0.7    1.8    5.9    7.9   11.8   13.3   12.1   10.8    6.3    4.6    5.0    1.12    5.20   12.42    7.21    6.84
1901    2.5    1.2    2.7    5.8    9.6   10.6   14.9   12.5   11.6    6.7    4.1    1.4    2.98    6.00   12.72    7.48    7.01
1902    2.2    0.1    4.1    5.5    6.0   10.6   10.9   10.8   10.6    7.1    6.0    2.9    1.28    5.18   10.77    7.91    6.43
1903    1.7    4.4    3.8    4.2    8.1   10.5   11.6   11.1   10.5    7.3    4.4    1.5    2.97    5.37   11.09    7.38    6.60
1904    3.0    1.2    2.5    6.1    7.8   11.1   12.8   12.0   10.4    7.8    4.0    2.9    1.94    5.43   11.96    7.39    6.81
1905    3.6    3.0    4.3    4.4    8.7   12.3   13.7   11.9   10.2    5.7    3.6    4.8    3.16    5.80   12.62    6.49    7.19
1906    3.4    1.0    2.6    5.1    6.9   12.0   12.1   13.1   11.5    7.8    6.0    2.0    3.13    4.90   12.40    8.44    7.00
1907    2.6    1.6    4.5    5.5    7.6    9.5   11.7   10.6   11.0    7.4    4.3    2.7    2.11    5.83   10.64    7.59    6.62
1908    2.2    3.5    2.4    4.0    9.2   11.4   12.6   11.8   10.6   10.4    5.7    3.2    2.82    5.20   11.97    8.93    7.28
1909    2.7    2.7    1.3    5.8    8.1   10.1   11.8   12.3    9.6    7.2    3.0    1.0    2.87    5.04   11.40    6.61    6.31
1910    1.1    2.3    4.6    4.3    8.5   11.4   11.8   12.7   10.5    8.3    1.5    4.3    1.43    5.81   11.95    6.76    6.79
1911    3.2    2.9    3.1    5.5   10.0   11.5   13.6   14.0   10.4    6.4    3.6    4.1    3.51    6.19   13.01    6.80    7.38
1912    1.9    2.6    4.6    6.7    8.6   10.8   12.7   10.2    9.0    6.5    4.1    3.5    2.86    6.65   11.24    6.53    6.78
1913    2.3    3.1    3.2    5.4    8.3   11.3   12.5   12.4   10.7    8.5    5.9    3.1    2.95    5.63   12.05    8.36    7.24
1914    2.3    4.2    3.2    7.4    7.9   11.6   13.1   13.1   10.7    8.1    4.7    1.8    3.20    6.16   12.59    7.83    7.35
1915    1.8    2.0    3.2    5.7    7.3   11.2   12.0   12.8   10.7    7.2    1.6    1.7    1.85    5.40   12.00    6.52    6.46
1916    5.1    1.7    1.3    5.7    8.0    9.5   12.6   13.0   10.6    7.4    5.6    1.9    2.87    5.00   11.76    7.85    6.89
1917    0.7    1.2    1.6    3.1    8.6   11.1   13.2   13.4   10.9    5.0    5.7    1.6    1.30    4.46   12.55    7.18    6.37
1918    1.0    4.5    3.8    4.9    9.8   10.5   12.4   13.0    8.0    7.2    3.8    3.7    2.32    6.16   11.98    6.36    6.91
1919    1.8    0.1    1.0    5.2   10.2   10.7   11.8   12.1    9.9    6.7    1.0    2.6    1.93    5.51   11.55    5.91    6.15
1920    2.3    4.0    4.4    5.2    8.5   11.5   11.4   11.3   10.3    8.5    6.1    2.5    2.95    6.06   11.39    8.32    7.18
1921    4.0    3.8    4.2    6.3    8.3   11.3   13.6   11.5   10.9    9.8    3.5    4.8    3.40    6.26   12.15    8.06    7.68
1922    1.8    2.6    3.4    3.3    8.6   10.2   10.8   10.8    9.5    6.6    4.8    3.9    3.09    5.11   10.61    6.98    6.39
1923    4.6    3.1    4.7    4.8    6.2    9.8   13.4   11.7    9.5    7.1    2.0    2.2    3.89    5.22   11.65    6.22    6.62
1924    3.0    2.8    1.9    4.9    7.5   10.4   12.3   11.8   10.0    7.6    5.8    5.5    2.66    4.77   11.52    7.79    6.97
1925    3.8    2.5    3.3    5.0    8.6   11.9   13.8   12.6    9.0    8.0    2.7    0.7    3.98    5.65   12.78    6.57    6.86
1926    3.3    3.8    4.3    7.0    7.5   11.1   13.7   13.1   10.8    5.1    3.7    3.6    2.59    6.29   12.66    6.52    7.28
1927    2.8    3.2    4.9    5.0    7.2    8.9   13.5   12.9    9.5    7.7    4.2    0.6    3.21    5.69   11.83    7.14    6.73
1928    3.1    3.5    3.5    5.9    8.4    9.1   11.8   12.2    9.7    7.5    5.3    2.6    2.37    5.94   11.09    7.51    6.91
1929    0.3    0.4    5.1    4.6    8.7   10.3   12.6   11.9   11.5    6.8    4.6    3.6    1.11    6.13   11.63    7.63    6.74
1930    2.7    0.7    2.4    6.1    8.1   12.0   12.7   12.8   10.8    7.7    3.4    3.2    2.40    5.55   12.48    7.32    6.93
1931    1.8    1.9    1.8    5.4    8.7   10.3   12.6   11.7    9.7    7.3    6.0    4.8    2.32    5.28   11.55    7.64    6.85
1932    4.8    3.5    3.5    4.3    7.9   11.4   13.0   13.1   10.0    6.2    4.5    4.1    4.40    5.27   12.53    6.89    7.22
1933    1.4    2.3    5.3    6.9    9.0   12.9   14.8   13.8   11.9    7.9    4.3    2.5    2.60    7.04   13.84    8.03    7.77
1934    3.9    4.5    2.9    4.9    8.2   11.7   14.4   12.5   11.4    7.4    4.2    5.5    3.60    5.33   12.90    7.68    7.66
1935    3.5    3.1    4.9    5.3    7.9   11.4   13.3   13.4   10.3    6.8    4.4    0.9    4.06    6.04   12.69    7.15    7.11
1936    1.1    1.2    4.6    4.5    8.9   11.7   13.0   13.3   11.5    7.5    4.1    3.6    1.05    6.00   12.70    7.71    7.10
1937    3.4    2.1    1.0    6.7    9.4   11.0   12.7   13.2   10.5    7.8    4.3    1.0    3.05    5.68   12.33    7.52    6.95
1938    3.5    3.3    7.0    6.3    7.9   10.7   12.1   12.9   11.1    8.1    6.2    2.9    2.57    7.05   11.94    8.46    7.68
1939    1.3    4.2    4.2    5.9    9.1   11.7   12.3   13.6   11.5    6.4    5.6    2.5    2.72    6.39   12.52    7.83    7.36
1940   -1.1    1.4    3.4    5.7   10.2   13.4   12.1   12.2    9.5    7.6    4.6    2.7    0.92    6.44   12.56    7.24    6.83
1941   -1.1    0.9    2.4    4.3    7.4   11.6   13.4   11.9   12.4    8.0    4.6    4.2    0.83    4.67   12.27    8.34    6.68
1942    0.7    0.1    2.7    6.5    8.1   10.5   12.3   13.0   10.4    7.6    4.1    4.7    1.75    5.78   11.97    7.35    6.78
1943    2.5    4.5    5.1    7.3    8.5   11.4   12.6   11.7   10.2    8.8    4.6    3.0    3.90    6.99   11.88    7.89    7.54
1944    4.0    2.4    3.8    7.4    8.2   10.7   13.4   13.6    9.6    7.0    3.2    2.7    3.17    6.43   12.55    6.60    7.17
1945   -1.2    4.5    6.5    6.9    8.6   11.3   13.8   13.2   11.8    9.2    6.0    3.8    1.91    7.35   12.78    9.01    7.89
1946    2.0    3.3    3.8    7.1    8.6   10.6   12.8   11.6   11.2    7.2    5.4    2.1    3.01    6.49   11.67    7.89    7.14
1947    1.5   -2.4    0.1    5.6    9.7   11.7   13.4   15.4   11.1    8.9    4.4    3.3    0.50    5.13   13.51    8.14    6.96
1948    1.6    3.0    6.2    6.5    8.4   10.9   12.8   11.8   10.6    7.4    5.9    4.2    2.61    7.06   11.83    7.99    7.46
1949    3.5    4.0    3.5    7.0    8.5   11.6   13.5   13.2   12.5    9.1    5.1    3.2    3.88    6.33   12.76    8.90    7.91
1950    3.5    1.9    5.4    4.8    8.6   12.3   13.0   12.8    9.9    7.4    3.2   -0.1    2.89    6.28   12.70    6.84    6.92
1951    1.5    1.3    1.9    3.8    7.4   10.5   12.8   11.9   11.1    8.6    6.0    3.5    0.88    4.38   11.74    8.55    6.72
1952   -0.1    2.1    4.3    7.1   10.0   10.3   13.0   12.4    8.4    6.7    2.3    1.9    1.85    7.15   11.91    5.82    6.56
