year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    1.4    0.5    1.2    1.8    3.9    7.2    8.8    9.7    7.7    4.4    1.1   -0.4     ---    2.29    8.58    4.40    3.95
1885   -1.1   -0.4   -0.6    2.0    2.7    6.5    8.2    6.6    5.6    1.8    1.1    0.4   -0.65    1.36    7.11    2.80    2.73
1886   -2.2   -2.3   -0.9    0.9    3.4    6.2    8.3    8.5    6.2    5.6    2.5   -3.1   -1.36    1.15    7.68    4.77    2.79
1887    0.1    0.6   -0.3    0.5    3.9    7.8    9.3    8.1    6.0    2.5    0.7   -1.6   -0.85    1.40    8.41    3.09    3.16
1888    0.2   -2.0   -2.0    1.1    3.6    5.5    7.3    7.6    5.7    4.5    2.7    1.6   -1.10    0.89    6.82    4.32    3.00
1889    0.8   -1.2    0.0    1.9    6.3    7.9    7.8    8.8    6.5    3.2    2.8    0.6    0.43    2.75    8.15    4.17    3.81
1890    1.4   -0.5    0.4    1.3    5.4    7.2    7.6    8.1    8.6    5.0    1.3   -1.0    0.51    2.37    7.63    5.00    3.76
1891   -0.9    1.1   -2.0    0.0    2.9    7.3    9.2    8.6    7.8    3.7    1.0    0.1   -0.29    0.30    8.40    4.15    3.25
1892   -1.6   -1.3   -2.6    0.1    4.0    6.1    7.7    8.4    5.4    2.1    2.2   -2.4   -0.93    0.52    7.38    3.22    2.35
1893   -1.1   -0.3    0.7    2.5    6.1    8.0    9.4   10.1    6.2    4.3    0.3    1.4   -1.30    3.07    9.17    3.60    3.99
1894   -0.9   -0.1    0.3    3.2    2.7    6.7    9.5    8.5    5.6    2.4    3.6    0.5    0.13    2.07    8.23    3.85    3.51
1895   -4.4   -6.4    0.2    2.1    4.7    6.8    8.2    9.7    8.7    1.6    1.7   -0.3   -3.34    2.36    8.26    3.97    2.77
1896    0.5    1.9    0.5    3.4    5.3    8.3    8.7    7.9    7.0    1.4    2.1   -0.2    0.67    3.05    8.27    3.45    3.88
1897   -2.0    0.3    0.8    0.5    2.8    7.2    8.7    9.9    5.6    4.2    3.5   -0.2   -0.68    1.38    8.62    4.41    3.45
1898    2.9   -0.3   -0.2    3.2    3.8    7.0    7.6    8.9    8.1    5.8    1.4    2.2    0.85    2.22    7.85    5.13    4.23
1899   -1.0   -0.7   -0.0    1.3    2.6    8.0   10.1    9.8    6.5    4.4    4.5   -1.3    0.19    1.28    9.29    5.13    3.69
1900    0.5   -3.7   -1.5    2.2    4.4    7.7   10.0    8.7    6.8    3.1    2.3    2.6   -1.42    1.66    8.84    4.08    3.64
1901    0.2   -1.5   -0.1    1.6    4.3    6.5   10.5    9.0    8.1    3.4    1.2   -0.8    0.50    1.96    8.65    4.21    3.56
1902   -0.5   -2.9    1.1    1.2    2.4    6.4    7.4    7.3    7.4    3.6    3.4    0.7   -1.35    1.58    7.05    4.79    3.16
1903   -0.6    2.0    1.0    0.5    4.3    6.2    7.8    7.5    6.7    4.6    1.7   -0.9    0.63    1.94    7.18    4.36    3.40
1904    0.7   -1.1   -0.7    2.6    4.1    7.0    8.9    8.3    6.7    4.7    1.3    0.5   -0.43    1.99    8.08    4.23    3.60
1905    1.0    0.2    1.3    1.0    4.5    7.7    9.6    8.4    6.7    2.5    1.1    2.5    0.59    2.27    8.59    3.45    3.91
