year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1862  182.2   60.9   96.6  105.3  112.3  122.0  135.5  106.9   65.7  227.0   93.2  198.6     ---   314.2   364.4   385.9  1506.3
1863  227.2  108.2   64.0  123.6   65.1  101.0   18.2  153.4  180.6  129.4  125.2  177.6   534.0   252.7   272.5   435.1  1473.3
1864  101.6  132.8  131.8   64.5   58.3  104.5   74.5   62.5  166.2  149.9  124.2  144.9   412.0   254.5   241.6   440.3  1315.8
1865  134.2  100.2   76.0   38.6   88.3   27.1  103.9  131.5   52.5  145.8  114.5  134.6   379.3   202.9   262.5   312.7  1147.0
1866  189.7  163.3   99.9   61.8   46.8   58.9   93.0  134.0  152.4   99.5  150.0  194.1   487.6   208.5   285.9   401.9  1443.4
1867  136.2  113.4   62.5  154.5   74.3   73.9  124.1   97.0  106.5  154.2   45.0  119.9   443.7   291.3   295.0   305.7  1261.5
1868  223.6  223.9  153.8  105.8   86.1   62.5   29.5  200.1   94.5  155.2  100.4  202.2   567.3   345.7   292.1   350.1  1637.5
1869  170.2  171.6   57.6   77.8   43.8   65.3   61.2   49.9  195.4  124.7  168.0  171.5   544.0   179.3   176.4   488.0  1357.0
1870   97.6  121.7   34.5   84.6   87.7   58.3   73.9   54.8  113.0  151.5   90.8  116.6   390.8   206.8   187.0   355.4  1085.1
1871  107.8  150.5   97.5  108.9   34.1   58.1  148.8  103.1   90.4  134.4  109.0  144.1   374.8   240.5   310.0   333.8  1286.7
1872  222.5  145.4   94.1   74.6  109.1  186.9  107.9  127.7  201.3  174.7  205.7  166.8   511.9   277.8   422.5   581.7  1816.7
1873  193.7   43.5   72.6   37.9   89.3   73.2  154.1  143.7  147.5  187.4  123.5  139.7   404.0   199.9   371.0   458.4  1406.1
1874  166.6   61.6  132.0   93.4   61.9   62.2  102.6  168.0  162.4  223.5  141.1   85.7   367.9   287.3   332.8   527.0  1461.1
1875  186.4   59.0   62.3   54.4   84.3   86.3   96.9  119.4  128.1  147.1  143.9  141.7   331.1   201.1   302.6   419.2  1310.0
1876  110.9  144.2  178.2   88.1   39.2  103.6   81.2  107.1  102.6  150.0  103.4  206.5   396.8   305.4   292.0   356.1  1415.1
1877  204.0  162.8   90.3   83.0   90.2  153.4  135.9  170.1   81.9  204.0  239.8  183.2   573.4   263.4   459.4   525.7  1798.6
1878  141.8   75.1   98.2   56.9  103.7   84.4   47.0  129.0  163.0  170.2  123.0   98.6   400.1   258.8   260.4   456.2  1290.9
1879   57.1   76.8  114.2   57.7   76.0  113.2  143.0  148.2  149.1   78.7   82.6   99.6   232.5   247.9   404.3   310.3  1196.1
1880   91.6  160.7   75.5  111.6   50.9   75.1  116.6   35.6  106.9   82.6  173.4  143.4   352.0   238.0   227.3   362.8  1223.9
1881   33.8  114.6  119.8   45.2   82.8  112.3  145.8  124.0   84.4  117.6  190.6  148.4   291.9   247.7   382.2   392.6  1319.4
1882  135.1  134.3  168.3  103.5   75.6  122.3  146.0   97.3  122.6  111.1  189.1  161.2   417.7   347.4   365.6   422.8  1566.3
1883  157.2  151.1   87.3   67.5   80.6   74.0  112.8  150.6  114.2  157.3  185.7  161.3   469.5   235.4   337.4   457.2  1499.6
1884  214.5  139.1  112.0   46.7  108.3   41.8  134.8   96.8  106.1  155.6  159.1  173.5   514.8   267.1   273.4   420.8  1488.4
1885  105.4  165.0   94.7   75.0  101.1   58.6   59.6   83.1  194.0  133.8  101.8  133.4   443.9   270.9   201.2   429.6  1305.5
1886  151.4   69.3   99.8   77.1  108.9   55.3  107.2   78.9  136.9  130.9  147.7  154.9   354.1   285.8   241.4   415.4  1318.2
1887  140.1  114.3   63.8   79.7   45.5   37.7  103.5   91.4  119.6   90.4  120.3  123.8   409.4   189.1   232.5   330.3  1130.1
1888  116.6   60.7  108.0   81.4  102.6   82.6  128.7  107.6   52.9  134.4  201.0  119.0   301.0   292.0   318.9   388.3  1295.4
1889  112.6  126.4   93.1   92.9   68.2   28.7   70.3  173.5   72.7  119.5   93.1  143.6   357.9   254.2   272.4   285.3  1194.6
1890  236.0   37.5  133.9   62.6   64.7  124.4  126.2  126.8  121.0  176.3  218.1   49.3   417.2   261.2   377.5   515.4  1476.9
1891  113.4   64.7  113.0   42.1   76.8   48.6  104.1  172.3  169.6  156.0  132.8  205.0   227.4   232.0   324.9   458.4  1398.3
1892  150.3   86.1   44.7   49.6  123.3  100.5   91.9  163.4  169.0  160.2  130.5   87.0   441.4   217.6   355.8   459.7  1356.6
1893   96.4  147.2   61.9   48.9   62.8   58.3  109.5  125.7  145.3  181.6  139.6  200.9   330.6   173.6   293.5   466.5  1378.1
1894  181.7  255.2  123.2   43.7  106.1   79.4  117.8  150.0   16.6   96.5  137.7  151.2   637.8   273.0   347.2   250.8  1459.1
1895   91.6   35.9  126.0   86.3   32.3   77.1  134.9  167.3   73.7  150.3  145.3  154.7   278.7   244.6   379.4   369.2  1275.4
1896  109.1   83.2  158.2   86.8   35.2  115.0  118.7  101.8  161.5  155.4   68.8  171.8   347.0   280.1   335.5   385.6  1365.4
1897   58.7   95.8  167.5   75.4   79.1  115.6   84.5  142.3  130.0   95.1  110.0  195.6   326.3   322.0   342.5   335.1  1349.6
1898  122.6  152.1   90.2  118.1   85.7   77.7   58.8  133.5  136.1  131.1  160.2  247.9   470.3   294.0   270.1   427.4  1514.2
1899  159.9   85.1  120.1  132.5   93.4   58.7   99.4   48.2  177.0  121.3  176.7  140.0   492.9   345.9   206.3   475.0  1412.2
1900  183.1  104.6   48.3  102.6   95.2   95.1  117.1  136.2  130.8  174.1  147.2  253.2   427.7   246.1   348.4   452.1  1587.5
1901  106.0   79.9   92.7  100.9   52.4  101.7   68.6  136.3   93.5  148.7  119.4  170.1   439.1   246.0   306.6   361.6  1270.2
1902  125.6   52.5  119.5   72.0   94.6   62.6   93.2   93.8  100.8  113.8   97.9  171.6   348.2   286.2   249.6   312.5  1197.9
1903  216.9  221.9  227.1   74.1   74.0   63.9  144.8  199.2  112.5  259.7  135.6  103.8   610.4   375.1   407.8   507.8  1833.4
1904  144.5  122.0   76.3  168.4   98.0   71.5   71.0  148.4  114.5   93.0  104.8  147.6   370.3   342.7   290.8   312.2  1359.8
1905  117.0  127.9  158.5   89.1   67.5   43.3   86.3  132.4  109.0  132.5  166.6  113.5   392.5   315.1   262.1   408.1  1343.7
1906  188.9  125.4  114.2   73.8  151.6   37.7  105.2  140.7   69.0  185.0  178.8  146.7   427.9   339.5   283.6   432.8  1517.0
1907  114.0  129.2  122.0   84.8  115.3  146.3   77.4  158.1   47.5  145.8  118.2  154.5   389.8   322.1   381.8   311.5  1413.0
1908  149.6  125.1  167.2   69.5   77.3   79.8   87.6  108.8  177.4   55.3  127.6  143.1   429.2   314.0   276.3   360.3  1368.4
1909  152.5   73.3  100.9  109.2   88.8   57.9  121.7   93.8   72.0  208.4  107.8  145.5   368.8   298.9   273.5   388.2  1331.9
1910  152.6  153.6   86.6  148.1   84.5   55.9  117.8  186.5   47.7   90.6  146.8  149.1   451.8   319.2   360.2   285.0  1419.8
1911   94.9  162.4   72.8  106.6   76.2   82.7   90.7   88.4   84.3   94.6  192.7  209.3   406.4   255.6   261.8   371.6  1355.6
1912  125.9  107.8  137.1   82.3   66.5  126.4   80.7  142.2   80.4  148.9  161.0  252.7   443.0   286.0   349.3   390.2  1512.0
1913  124.2   94.6  172.8  107.6  107.7  100.8   31.9   48.6   80.1  104.9  183.6  141.9   471.5   388.1   181.3   368.6  1298.7
1914  133.3  164.8  138.0   88.7   82.7   47.5   96.1  108.6   76.7   61.9  193.1  227.0   440.0   309.4   252.2   331.7  1418.5
1915  142.9  166.8   91.5  118.6   36.4   40.9  126.3   89.9   88.0   78.8  105.9  184.3   536.7   246.5   257.1   272.7  1270.3
1916  206.6  161.8   74.1  104.5  123.5   89.8  115.5   96.3   58.6  228.3  168.2  142.2   552.7   302.1   301.6   455.1  1569.4
1917  104.4   35.3   84.9   78.8   78.3   88.7   55.0  156.3  117.3  233.2  228.8   94.0   281.9   242.1   300.1   579.4  1355.3
1918  138.2  175.9   50.7   39.2   77.0   61.7  141.9  126.7  177.6  168.3  150.0  154.2   408.1   166.8   330.3   495.9  1461.2
1919  121.8   41.3  113.7  117.7   32.3  113.2   38.1  107.8  131.5   84.1  161.9  194.7   317.3   263.7   259.1   377.5  1258.1
1920  193.0  185.6  144.5   83.8  129.1   49.9  112.1  115.9   96.7   77.6  149.2  129.5   573.3   357.4   277.9   323.5  1466.9
1921  226.2   51.4  177.5   51.0   92.8   32.5  104.5  135.0   83.5  136.2   80.9  221.1   407.0   321.3   272.0   300.6  1392.6
1922  152.6  148.9   80.3   99.0  120.2   74.5  114.2  102.6   78.1   75.7  104.2  146.3   522.7   299.5   291.3   258.0  1296.6
1923  182.8  149.4   50.9   99.3  103.1   64.5  120.7  183.4  164.3  197.6  151.2  148.5   478.5   253.3   368.6   513.1  1615.8
1924  124.6   65.3   40.5   80.3  124.5   85.3  145.4  139.5  171.9  119.6   96.8  212.2   338.4   245.3   370.3   388.3  1406.0
