NCFormat,IPCC,Pollutant,SourceName,EmissionYear,GHG Emissions (MtCO2e),SG_categories,CCP_categories
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,BaseYear,0.000890278,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,1990,0.000890278,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,1995,0.0007808,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,1998,0.000615189,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,1999,0.000590465,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2000,0.000602436,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2001,0.000589614,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2002,0.000606252,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2003,0.000617743,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2004,0.000668701,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2005,0.0007051,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2006,0.000608273,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2007,0.000575204,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2008,0.000732398,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2009,0.000575056,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2010,0.000833874,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2011,0.000686488,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2012,0.000766761,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2013,0.001173208,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2014,0.001684285,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2015,0.003056094,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2016,0.00281525,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2017,0.003306282,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2018,0.003387634,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CH4,Agriculture - stationary combustion,2019,0.003329409,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,BaseYear,0.066808653,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,1990,0.066808653,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,1995,0.082424175,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,1998,0.056927137,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,1999,0.066464737,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2000,0.052402031,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2001,0.074793108,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2002,0.071500165,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2003,0.071976688,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2004,0.070806033,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2005,0.065537353,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2006,0.057618257,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2007,0.055932367,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2008,0.040012826,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2009,0.035338468,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2010,0.032504458,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2011,0.033110107,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2012,0.028063129,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2013,0.027293371,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2014,0.026480143,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2015,0.024409634,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2016,0.025721806,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2017,0.025828651,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2018,0.024868923,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,CO2,Agriculture - stationary combustion,2019,0.029643471,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,BaseYear,0.000182726,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,1990,0.000182726,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,1995,0.000197051,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,1998,0.000141584,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,1999,0.000151537,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,2000,0.000104309,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,2001,0.000111188,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,2002,0.000106913,Agriculture and Related Land Use,Agriculture
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,N2O,Agriculture - stationary combustion,2003,0.000109026,Agriculture and Related Land Use,Agriculture
